bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1ycSSBzEdG,,,,author_expand,owner:16720403,2026-04-06T07:13:28.884764+00:00,2026-04-06T07:13:28.884764+00:00,16720403,29,2026-04-05T08:24:39+00:00,184,64187.0,owner:16720403,uid_expansions/uid_expansion_20260404_20260406_143923/videolist_part_1.csv,uid_expansions,0
BV1CuSSBPEKR,,,,author_expand,owner:3546959587576752,2026-04-06T08:10:09.873974+00:00,2026-04-06T08:10:09.873974+00:00,3546959587576752,27,2026-04-05T08:23:34+00:00,2170,2683.0,owner:3546959587576752,uid_expansions/uid_expansion_20260404_20260406_143923/videolist_part_1.csv,uid_expansions,0
BV1HuSSBPEvM,,,,author_expand,owner:16720403,2026-04-06T07:13:28.884764+00:00,2026-04-06T07:13:28.884764+00:00,16720403,29,2026-04-05T08:22:41+00:00,197,45149.0,owner:16720403,uid_expansions/uid_expansion_20260404_20260406_143923/videolist_part_1.csv,uid_expansions,0
BV1rgSSBYE8t,1018.0,体育运动,79.0,rankboard,rankboard:rid=1018:rank=79,2026-04-06T09:02:45.264156+00:00,,328062022,236,2026-04-05T08:19:56+00:00,303,314113.0,"rankboard:rid=1018:rank=79,https://www.bilibili.com/v/popular/rank/sports",full_site_floorings/rankboard-20260406_170215.csv,full_site_floorings,1000
BV1pgSSBYE7m,,,,author_expand,owner:487614876,2026-04-06T07:37:45.882932+00:00,2026-04-06T07:37:45.882932+00:00,487614876,205,2026-04-05T08:18:00+00:00,17,49209.0,owner:487614876,uid_expansions/uid_expansion_20260404_20260406_143923/videolist_part_1.csv,uid_expansions,0
BV18QSUB1E7J,,,,hot,hot:pn=20:ps=20,2026-04-06T09:01:13.575381+00:00,2026-04-06T09:01:13.575381+00:00,456318119,17,2026-04-05T08:16:20+00:00,921,643826.0,hot:pn=20:ps=20,full_site_floorings/daily_hot-20260406_170113.csv,full_site_floorings,1001
BV1pgSSBYEwr,,,,author_expand,owner:533996453,2026-04-06T07:32:54.811934+00:00,2026-04-06T07:32:54.811934+00:00,533996453,154,2026-04-05T08:15:52+00:00,12,10393.0,owner:533996453,uid_expansions/uid_expansion_20260404_20260406_143923/videolist_part_1.csv,uid_expansions,0
BV1sKSSBKEEg,,,,hot,hot:pn=16:ps=20,2026-04-06T09:01:13.575381+00:00,2026-04-06T09:01:13.575381+00:00,872665,182,2026-04-05T08:15:39+00:00,1722,490950.0,hot:pn=16:ps=20,full_site_floorings/daily_hot-20260406_170113.csv,full_site_floorings,1001
BV1sKSSBKEwz,,,,author_expand,owner:11718651,2026-04-06T07:44:43.333977+00:00,2026-04-06T07:44:43.333977+00:00,11718651,252,2026-04-05T08:11:19+00:00,12,7313.0,owner:11718651,uid_expansions/uid_expansion_20260404_20260406_143923/videolist_part_1.csv,uid_expansions,0
BV1kTSSBvEdK,1002.0,娱乐,48.0,rankboard,rankboard:rid=1002:rank=48,2026-04-06T09:02:31.704956+00:00,,440516,137,2026-04-05T08:10:02+00:00,626,36112.0,"rankboard:rid=1002:rank=48,https://www.bilibili.com/v/popular/rank/ent",full_site_floorings/rankboard-20260406_170215.csv,full_site_floorings,1000
BV1CTSSBvEJ8,,,,author_expand,owner:4351252,2026-04-06T08:07:32.049147+00:00,2026-04-06T08:07:32.049147+00:00,4351252,205,2026-04-05T08:08:36+00:00,22,88.0,owner:4351252,uid_expansions/uid_expansion_20260404_20260406_143923/videolist_part_1.csv,uid_expansions,0
